kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
32403,E,LABORATORIUM MINYAK DAN GAS,B,,A,157
32404,E,KESELAMATAN KERJA DAN PENCEGAHAN KEBAKARAN,B,,A,158
32405,E,INSTRMENTASI DAN ELEKTRONIKA MIGAS,B,,A,
32604,G,FIRE AND SAFETY,B,,A,
33001,A,ILMU GEOFISIKA,B,,A,159
33101,B,TEKNIK GEOFISIKA,B,,A,160
33201,C,TEKNIK GEOFISIKA,B,,A,161
33202,C,METEOROLOGI,B,,A,162
34001,A,ILMU TEKNIK GEOLOGI,B,,A,163
34002,A,SAINS KEBUMIAN,B,,A,
34101,B,TEKNIK GEOLOGI,B,,A,164
34102,B,SAINS KEBUMIAN,B,,A,
34201,C,TEKNIK GEOLOGI,B,,A,165
34401,E,GEOLOGI TERAPAN,B,,A,166
35001,A,ILMU PERENCANAAN WILAYAH DAN KOTA,B,,A,167
35101,B,PERENCANAAN WILAYAH DAN KOTA,B,,A,168
35102,B,RANCANG KOTA,B,,A,
35201,C,PERENCANAAN WILAYAH DAN KOTA,B,,A,169
35401,E,SURVAI DAN PEMETAAN,B,,A,170
35601,G,SURVAI DAN PEMETAAN,B,,A,
36001,A,ILMU TEKNIK PERKAPALAN,B,,A,171
36101,B,TEKNIK PERKAPALAN,B,,A,172
36201,C,TEKNIK PERKAPALAN,B,,A,173
36202,C,TEKNIK SISTEM PERKAPALAN,B,,A,174
36401,E,TEKNIK PERANCANGAN DAN KONSTRUKSI KAPAL,B,,A,175
36402,E,TEKNIK PERMESINAN KAPAL,B,,A,176
36403,E,TEKNIK BANGUNAN KAPAL,B,,A,177
36404,E,TEKNIK KELISTRIKAN KAPAL,B,,A,178
37001,A,ILMU DAN REKAYASA NUKLIR,B,,A,179
37101,B,ILMU DAN REKAYASA NUKLIR,B,,A,180
37201,C,TEKNIK NUKLIR,B,,A,181
38001,A,ILMU TEKNIK KELAUTAN,B,,A,182
38101,B,TEKNIK KELAUTAN,B,,A,183
38201,C,TEKNIK KELAUTAN,B,,A,184
38401,E,TEKNIK KELAUTAN,B,,A,
39001,A,ILMU TRANSPORTASI,B,,A,185
39101,B,TRANSPORTASI,B,,A,186
39201,C,TRANSPORTASI,B,,A,
39301,D,TRANSPORTASI,B,,A,
39401,E,TRANSPORTASI,B,,A,
40001,A,ILMU TEKNIK PENERBANGAN,B,,A,188
40101,B,TEKNIK PENERBANGAN,B,,A,189
40201,C,TEKNIK PENERBANGAN,B,,A,190
40401,E,LISTRIK PESAWAT,B,,A,191
40402,E,AERONAUTIKA,B,,A,192
40403,E,RANGKA PESAWAT,B,,A,193
40404,E,MOTOR PESAWAT,B,,A,194
40405,E,AVIONIKA,B,,A,195
40406,E,TEKNIK & MANAJEMEN LOGISTIK PENERBANGAN,B,,A,
41001,A,ILMU TEKNIK PERTANIAN,B,,A,196
41011,A,TEKNOLOGI INDUSTRI PERTANIAN,B,,A,200
41021,A,ILMU DAN TEKNOLOGI PANGAN,B,,A,204
41031,A,TEKNOLOGI HASIL PERTANIAN,B,,A,
41101,B,TEKNIK PERTANIAN,B,,A,197
41111,B,TEKNOLOGI INDUSTRI PERTANIAN,B,,A,201
41121,B,ILMU DAN TEKNOLOGI PANGAN,B,,A,205
41131,B,TEKNOLOGI HASIL PERTANIAN,B,,A,
